reputacao_artista,altura,largura,peso,preco_escultura,preco_base_envio,diferenca_dias_entrega,data_agendada_dias,data_agendada_mes,data_agendada_ano,data_entrega_dias,data_entrega_mes,data_entrega_ano,internacional_Sim,envio_expresso_Sim,instalacao_incluida_Sim,fragil_Sim,pedido_extra_cliente_Sim,localizacao_remota_Sim,material_Argila,material_Bronze,material_Latão,material_Madeira,material_Mármore,material_Não especificado,material_Pedra,transporte_Aéreo,transporte_Não especificado,transporte_Rodoviário
0.67,2.1336,1.2192,48.987936,36.33,73.29,0,2,5,2020,2,5,2020,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0.61,1.8288,1.524,43.998424,22.207500000000003,71.505,2,4,1,2022,6,1,2022,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.14,4.572,2.4384,343.369144,32.97,124.8975,3,14,9,2021,17,9,2021,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.63,3.048,1.2192,758.859416,23.0475,93.6075,-1,3,12,2021,2,12,2021,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True
0.34,9.7536,1.8288,505.75508,34.9125,119.7,4,3,2,2022,7,2,2022,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
0.81,9.144,3.048,281.680632,26.6175,67.2,-2,22,11,2021,20,11,2021,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
0.14,2.7432000000000003,1.2192,23.586784,20.9475,130.935,-1,3,4,2023,2,4,2023,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0.44,11.5824,2.4384,571.52592,15.96,72.03,0,8,9,2020,8,9,2020,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.33,2.4384,1.2192,29.48348,26.4075,84.0,3,15,4,2020,18,4,2020,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0.13,7.62,3.3528,69.853168,18.27,79.1175,-1,18,10,2021,17,10,2021,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.16,2.1336,1.2192,254.465112,29.7675,128.0475,3,28,10,2019,31,10,2019,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.67,4.2672,2.1336,116.573144,16.17,64.05,-4,23,2,2023,19,2,2023,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.84,9.7536,3.3528,112.037224,24.57,124.53,-4,3,1,2023,30,12,2022,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0.2,9.144,2.4384,603.27736,28.455,116.4975,1,4,11,2022,5,11,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.47,5.1816,2.4384,171.911368,24.4125,128.31,-1,24,7,2023,23,7,2023,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False
0.41,2.7432000000000003,1.2192,303.453048,26.6175,86.94,3,1,11,2020,4,11,2020,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0.44,3.9624,1.8288,124.7378,27.195,53.025,-3,10,5,2021,7,5,2021,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.31,3.048,1.2192,171.911368,21.1575,64.26,-1,6,11,2022,5,11,2022,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
0.49,5.1816,1.8288,183.70476,36.015,71.39999999999999,2,19,3,2023,21,3,2023,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
0.45,6.4008,2.1336,133.80964,15.9075,69.8775,-4,23,2,2020,19,2,2020,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0.73,2.4384,1.2192,1431.536352,22.4175,103.2675,4,2,7,2023,6,7,2023,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0.77,8.8392,3.048,118.387512,34.4925,88.9875,-1,16,2,2020,15,2,2020,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.16,3.6576,2.4384,908.544776,23.4675,90.8775,1,15,5,2022,16,5,2022,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
0.77,0.9144,0.6096,34.926584,18.9,55.0725,3,30,9,2019,3,10,2019,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0.07,2.7432000000000003,1.2192,310.71052,26.355,120.9075,0,16,8,2021,16,8,2021,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.26,3.9624,1.8288,67.585208,28.2975,71.715,0,8,9,2020,8,9,2020,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.88,2.1336,1.524,22.6796,24.0975,80.01,1,24,11,2020,25,11,2020,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False
0.46,6.096,2.1336,389.635528,30.1875,115.605,-1,9,5,2020,8,5,2020,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
